ID,Condition,Embodiment,Eask,Extraversion,Agreeableness,Conscientiousness,Emotional Stability,Openness,Manipulation Check,Happy,Social,Emotional,Capable,Responsive,Interactive,Reliable,Competent,Knowledgeable,Fake-Natural,Machinelike-Humanlike,Unconsious-Conscious,Artificial-Lifelike,Rigid-Elegant,Dead-Alive,Stagnant-Lively,Mechanical-Organic,Artificial-Lifelike 2,Inert-Interactive,Apathetic-Responsive,Dislike-Like,Unfriendly-Friendly,Unkind-Kind,Unpleasant-Pleasant,Awful-Nice,Incompetent-Competent,Ignorant-Knowledgeable,Irresponsible-Responsible,Unintelligent-Intelligent,Foolish-Sensible,Gender,trial_1,trial_2,trial_3,trial_4,trial_5,ROSAS: Warmth,ROSAS: Competence,GS: Anthro,GS: Animacy,GS: Likeability,GS: PI,Distance
31101,11,Functional,No task,1,6.5,7,6.5,7,true,1,1,1,1,5,5,3,3,3,1,1,1,1,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,Male,0.859,0.86,0.865,0.954,0.954,1,3.3333333333,1.4,1,3,3,89.84
31401,1,Social,No task,5,4.5,6.5,3,4.5,false,3,4,3,5,5,4,5,5,5,1,1,1,1,1,2,2,1,1,1,1,3,3,3,3,3,4,3,3,3,3,Female,,,,,,3.3333333333,4.8333333333,1,1.3333333333,3,3.2,
31401,0,Social,Task,5,4.5,6.5,3,4.5,false,4,4,3,4,4,3,4,4,3,1,1,3,1,1,3,3,2,1,1,1,3,3,3,3,3,3,3,3,3,3,Female,,,,,,3.6666666667,3.6666666667,1.4,1.8333333333,3,3,
31501,0,Social,Task,2,5.5,7,6,5,true,4,3,4,5,5,3,5,5,5,3,2,3,2,3,3,4,3,3,4,4,5,5,5,5,5,5,5,5,5,4,Female,,,,,,3.6666666667,4.6666666667,2.6,3.5,5,4.8,
31501,1,Social,No task,2,5.5,7,6,5,true,3,2,3,4,3,2,5,4,4,1,1,1,1,2,1,1,1,1,2,2,3,2,3,3,4,5,5,5,5,4,Female,,,,,,2.6666666667,3.6666666667,1.2,1.3333333333,3,4.8,
31701,11,Functional,No task,6,5,5.5,5.5,7,true,3,3,2,2,2,2,4,3,3,2,2,3,2,1,4,2,2,2,4,4,4,4,4,4,4,2,2,3,3,4,Male,,,,,,2.6666666667,2.6666666667,2,3,4,2.8,
31701,10,Functional,Task,6,5,5.5,5.5,7,true,2,1,4,4,4,4,4,5,5,3,4,4,4,2,4,4,2,4,4,4,3,2,3,3,3,4,4,4,4,4,Male,,,,,,2.3333333333,4.3333333333,3.4,3.6666666667,2.8,4,
32301,10,Functional,Task,6,6,5,6.5,5.5,true,3,2,2,5,4,3,5,3,3,4,2,2,2,2,3,3,2,2,2,4,3,3,3,4,4,4,4,5,4,4,Female,,,,,,2.3333333333,3.8333333333,2.4,2.6666666667,3.4,4.2,
32301,11,Functional,No task,6,6,5,6.5,5.5,true,3,3,2,4,4,2,4,4,4,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,4,4,3,4,Female,0.482,0.485,0.479,0.481,0.513,2.6666666667,3.6666666667,2.8,2.8333333333,3,3.8,48.8
32801,1,Social,No task,5.5,6,7,2.5,4,true,5,5,5,5,5,5,3,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,Female,0.92,0.883,0.875,0.917,0.958,5,4.6666666667,4.2,5,5,4.6,91.06
32801,0,Social,Task,5.5,6,7,2.5,4,true,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Female,0.795,1.02,0.787,0.907,0.877,5,5,5,5,5,5,87.72
32901,0,Social,Task,4.5,6.5,6.5,6,6.5,true,1,2,1,3,4,3,3,4,3,2,1,3,2,1,3,3,1,2,3,2,3,3,3,3,4,3,3,4,3,4,Female,0.743,0.751,0.71,0.724,0.693,1.3333333333,3.3333333333,1.8,2.3333333333,3.2,3.4,72.42
32901,1,Social,No task,4.5,6.5,6.5,6,6.5,true,3,4,3,3,4,4,4,4,4,3,3,4,2,3,3,2,2,2,4,3,3,3,3,3,4,3,4,3,3,4,Female,0.784,0.778,0.808,0.792,0.856,3.3333333333,3.8333333333,3,2.6666666667,3.2,3.4,80.36
32902,11,Functional,No task,5,4,3.5,2,6.5,true,4,4,2,5,5,3,4,5,5,2,1,1,2,1,2,1,2,2,2,4,3,3,3,3,3,4,4,4,4,4,Female,0.976,0.952,0.772,0.869,0.86,3.3333333333,4.5,1.4,2.1666666667,3,4,88.58
32902,10,Functional,Task,5,4,3.5,2,6.5,true,2,2,4,2,3,3,4,3,5,4,4,4,3,4,3,4,3,3,3,2,2,2,3,3,3,4,5,5,5,4,Female,0.853,0.83,0.912,0.759,0.691,2.6666666667,3.3333333333,3.8,3,2.6,4.6,80.9
32903,10,Functional,Task,2,6,6.5,6.5,4.5,true,1,1,1,5,5,3,5,5,3,3,3,3,2,1,2,2,1,2,3,3,3,2,3,3,3,4,3,4,3,3,Female,0.585,0.528,0.519,0.536,0.455,1,4.3333333333,2.4,2.1666666667,2.8,3.4,52.46
32903,11,Functional,No task,2,6,6.5,6.5,4.5,true,3,3,3,3,3,4,4,4,3,3,2,2,1,3,2,2,1,2,3,3,3,3,3,4,3,4,3,3,4,4,Female,0.55,0.511,0.499,0.527,0.417,3,3.5,2.2,2.1666666667,3.2,3.6,50.08
32904,1,Social,No task,5.5,4,6,3,6,true,2,2,2,2,3,2,2,3,2,1,1,3,1,2,2,2,2,1,2,3,3,3,3,3,3,3,3,3,3,3,Female,0.562,0.498,0.496,0.485,0.477,2,2.3333333333,1.6,2,3,3,50.36
32904,0,Social,Task,5.5,4,6,3,6,true,3,2,2,3,3,3,3,3,3,1,1,2,1,1,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,4,Female,0.533,0.506,0.583,0.49,0.484,2.3333333333,3,1.2,2,3,3.2,51.92
33001,0,Social,Task,5,4.5,7,3,5,true,2,3,2,2,3,2,3,3,3,1,1,1,1,2,3,3,2,1,3,4,2,3,3,2,4,4,3,4,3,4,Female,1.088,0.995,0.828,0.931,0.946,2.3333333333,2.6666666667,1.2,2.6666666667,2.8,3.6,95.76
33001,1,Social,No task,5,4.5,7,3,5,true,4,3,2,4,4,3,4,4,4,2,1,3,1,2,3,3,1,1,2,4,2,3,4,3,3,4,4,4,3,3,Female,0.904,0.873,0.759,0.795,0.786,3,3.8333333333,1.8,2.3333333333,3,3.6,82.34
33101,11,Functional,No task,5,7,6.5,7,6,true,5,3,2,5,5,5,5,5,5,4,1,5,2,1,3,1,1,1,4,4,4,4,4,4,5,5,5,5,5,5,Male,0.572,0.529,0.543,0.58,0.558,3.3333333333,5,2.6,2.3333333333,4.2,5,55.64
33101,10,Functional,Task,5,7,6.5,7,6,true,4,2,2,5,5,5,5,5,5,4,1,5,1,3,4,4,2,2,4,4,5,4,4,4,5,5,5,5,5,5,Male,0.578,0.568,0.481,0.655,0.468,2.6666666667,5,2.8,3.3333333333,4.4,5,55
40101,10,Functional,Task,3.5,4,4.5,5,4.5,true,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,3,2,3,3,3,3,3,2,3,3,1,3,Male,0.561,0.582,0.643,0.571,0.529,1,2,1,1.6666666667,3,2.4,57.72
40101,11,Functional,No task,3.5,4,4.5,5,4.5,true,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,1,3,Male,0.626,0.583,0.625,0.591,0.572,1,3,1,1.3333333333,2.6,2.6,59.94
40601,1,Social,No task,2,6,4,3,6.5,true,4,4,4,5,4,2,5,5,5,4,1,2,1,1,4,5,2,1,4,5,5,4,4,5,5,5,5,5,5,3,Female,,,,,,4,4.3333333333,1.8,3.5,4.6,4.6,
40601,0,Social,Task,2,6,4,3,6.5,true,4,4,5,5,4,5,5,5,5,5,1,4,1,1,4,5,2,1,5,5,5,5,4,5,5,5,5,5,5,3,Female,0.642,0.589,0.63,0.665,0.659,4.3333333333,4.8333333333,2.4,3.6666666667,4.8,4.6,63.7
40801,0,Social,Task,6.5,4,5.5,4.5,6,true,4,1,1,3,5,3,1,2,2,1,2,1,1,5,5,4,1,1,4,5,3,3,3,4,5,3,1,4,4,3,Female,0.686,0.603,0.621,0.725,0.695,2,2.6666666667,2,3.3333333333,3.6,3,66.6
40801,1,Social,No task,6.5,4,5.5,4.5,6,true,4,1,1,2,4,4,1,1,1,1,1,1,1,2,4,4,1,1,3,4,3,3,3,3,3,4,3,3,5,3,Female,0.574,0.656,0.773,0.604,0.496,2,2.1666666667,1.2,2.8333333333,3,3.6,62.06
40802,11,Functional,No task,4.5,4.5,6,6,7,true,3,3,3,4,4,4,4,4,4,4,1,3,1,1,2,2,1,2,2,1,3,3,3,2,3,5,4,4,4,3,Male,0.656,0.629,0.609,0.602,0.596,3,4,2,1.6666666667,2.8,4,61.84
40802,10,Functional,Task,4.5,4.5,6,6,7,true,2,2,2,4,4,4,4,4,4,3,1,2,1,2,3,3,1,1,2,3,3,3,3,4,4,4,4,4,4,4,Male,0.659,0.605,0.569,0.551,0.554,2,4,1.8,2.1666666667,3.4,4,58.76
