user,task,Interaction,Robot Response,Verbal,gaze/arm,gaze/camera,gaze/face,whole
021601,1,26.548983333333336,6.146066666666665,10.586296666666657,0.0,0.0,14.401360000000002,88.88739
021601,2,21.64128333333332,5.208163333333338,9.852579999999994,0.0,0.0,12.774159999999995,81.71433999999999
021701,1,37.69746666666666,17.292303333333336,16.879246666666667,0.0,0.0,0.0,82.75428
021701,2,29.211139999999997,13.5965,11.570729999999992,3.1566666666666676,0.0,0.0,76.24897
022401,1,36.62738999999999,13.446256666666658,8.63644666666667,0.0,0.0,11.084099999999998,80.83277
022401,2,42.00365999999999,15.909156666666675,7.949773333333332,3.4177400000000007,0.0,13.620763333333336,91.01876
022402,1,24.21474333333333,5.705253333333329,5.101326666666664,0.0,0.0,8.062999999999997,84.26754
022402,2,33.488656666666664,8.44283000000001,8.380383333333329,0.0,0.0,14.317923333333326,82.90706999999999
022801,1,20.21602333333333,6.912769999999996,5.885860000000001,0.0,0.0,0.0,63.739869999999996
022801,2,24.80482333333333,7.726950000000002,6.260540000000003,0.0,0.0,0.0,74.91472999999999
030301,1,28.92999,8.934606666666667,7.542606666666657,3.134043333333332,0.0,0.0,78.54686
030301,2,22.42036333333333,7.009179999999997,7.50932,2.1211666666666686,0.0,0.0,63.5597
030401,1,33.984346666666674,9.50046666666667,8.85737999999999,0.0,0.0,9.218933333333334,94.04111999999999
030401,2,23.70974666666667,5.881150000000006,4.758836666666661,0.0,0.0,0.0,89.60360999999999
030901,1,26.669040000000006,7.579816666666666,6.238600000000004,0.0,0.0,0.0,90.84128000000001
030901,2,10.14969666666667,3.124746666666669,3.579216666666665,0.0,0.0,0.0,68.77598
031001,1,26.558533333333344,7.565569999999997,10.119950000000006,0.0,0.0,7.157499999999995,90.46643
031001,2,30.281396666666666,7.852459999999996,10.548520000000009,0.7068266666666668,0.0,8.966606666666664,85.14948
031101,1,30.836706666666668,9.352766666666671,8.236413333333337,0.0,0.0,7.751263333333331,77.39582999999999
031101,2,21.80643333333333,6.875960000000002,8.245239999999994,0.0,0.0,7.205276666666667,68.19923
031401,1,27.46491333333334,8.670573333333335,7.169019999999999,0.0,0.0,5.472450000000001,81.89846
031401,2,39.097013333333344,10.522559999999999,8.11695666666666,0.0,0.0,12.08997,82.90122
031501,1,44.33557,11.330960000000003,12.646689999999987,0.0,0.0,13.813586666666666,85.36974000000001
031501,2,37.86433333333334,10.497336666666671,10.813883333333331,0.0,0.0,11.688350000000002,76.82794
031701,1,48.33302333333335,6.948433333333327,11.404909999999992,0.0,0.0,0.0,263.07390000000004
